LocationDesc,Current Smoking %,Gender,Race,Age,Education
Kentucky,27.2,Male,All Races,All Ages,All Grades
Kentucky,29.7,Overall,African American,All Ages,All Grades
Kentucky,24.4,Overall,All Races,18 to 24 Years,All Grades
Ohio,22.8,Overall,White,All Ages,All Grades
Kentucky,33.7,Overall,All Races,25 to 44 Years,All Grades
Kentucky,27.4,Overall,All Races,45 to 64 Years,All Grades
Kentucky,12.4,Overall,All Races,65 Years and Older,All Grades
Kentucky,42.5,Overall,All Races,Age 20 and Older,< 12th Grade
Kentucky,19.4,Overall,All Races,Age 20 and Older,> 12th Grade
Kentucky,29,Overall,All Races,Age 20 and Older,12th Grade
Kentucky,43,Overall,All Races,Age 25 and Older,< 12th Grade
Kentucky,18.7,Overall,All Races,Age 25 and Older,> 12th Grade
Kentucky,29.1,Overall,All Races,Age 25 and Older,12th Grade
Kentucky,26.2,Overall,All Races,All Ages,All Grades
Kentucky,44.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Kentucky,,Overall,Asian/Pacific Islander,All Ages,All Grades
Kentucky,26.5,Overall,Hispanic,All Ages,All Grades
Kentucky,25.5,Overall,White,All Ages,All Grades
Kentucky,46.2,Female,All Races,All Ages,All Grades
Kentucky,52.1,Male,All Races,All Ages,All Grades
Kentucky,49.3,Overall,All Races,All Ages,All Grades
Kentucky,54.3,Female,All Races,All Ages,All Grades
Kentucky,48,Male,All Races,All Ages,All Grades
Kentucky,51.3,Overall,All Races,All Ages,All Grades
Kentucky,81.4,Female,All Races,All Ages,All Grades
Kentucky,74.8,Male,All Races,All Ages,All Grades
Kentucky,78.1,Overall,All Races,All Ages,All Grades
Kentucky,18.6,Female,All Races,All Ages,All Grades
Kentucky,25.2,Male,All Races,All Ages,All Grades
Kentucky,21.9,Overall,All Races,All Ages,All Grades
Kentucky,48.4,Overall,All Races,All Ages,All Grades
Kentucky,25.2,Female,All Races,All Ages,All Grades
Kentucky,27.2,Male,All Races,All Ages,All Grades
Kentucky,26.2,Overall,All Races,All Ages,All Grades
Kentucky,21.7,Female,All Races,All Ages,All Grades
Kentucky,29.5,Male,All Races,All Ages,All Grades
Kentucky,25.5,Overall,All Races,All Ages,All Grades
Kentucky,53.1,Female,All Races,All Ages,All Grades
Kentucky,43.3,Male,All Races,All Ages,All Grades
Louisiana,23,Female,All Races,18 to 44 Years,All Grades
Louisiana,20.7,Female,All Races,All Ages,All Grades
Louisiana,27.6,Male,All Races,All Ages,All Grades
Louisiana,24.6,Overall,African American,All Ages,All Grades
Louisiana,17.5,Overall,All Races,18 to 24 Years,All Grades
Louisiana,31.2,Overall,All Races,25 to 44 Years,All Grades
Louisiana,25.9,Overall,All Races,45 to 64 Years,All Grades
Georgia,21.4,Overall,White,All Ages,All Grades
Louisiana,11.6,Overall,All Races,65 Years and Older,All Grades
Louisiana,43.9,Overall,All Races,Age 20 and Older,< 12th Grade
Louisiana,17,Overall,All Races,Age 20 and Older,> 12th Grade
Louisiana,25.6,Overall,All Races,Age 20 and Older,12th Grade
Louisiana,44.1,Overall,All Races,Age 25 and Older,< 12th Grade
Louisiana,17.4,Overall,All Races,Age 25 and Older,> 12th Grade
Louisiana,26.2,Overall,All Races,Age 25 and Older,12th Grade
Louisiana,24,Overall,All Races,All Ages,All Grades
Louisiana,31.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Louisiana,,Overall,Asian/Pacific Islander,All Ages,All Grades
Louisiana,19.8,Overall,Hispanic,All Ages,All Grades
Louisiana,23.8,Overall,White,All Ages,All Grades
Louisiana,48.3,Male,All Races,All Ages,All Grades
Louisiana,48,Overall,All Races,All Ages,All Grades
Louisiana,47.7,Female,All Races,All Ages,All Grades
Louisiana,60,Female,All Races,All Ages,All Grades
Louisiana,61.5,Male,All Races,All Ages,All Grades
Louisiana,60.8,Overall,All Races,All Ages,All Grades
Louisiana,69.9,Overall,All Races,All Ages,All Grades
Louisiana,72.7,Female,All Races,All Ages,All Grades
Louisiana,67.5,Male,All Races,All Ages,All Grades
Louisiana,27.3,Female,All Races,All Ages,All Grades
Louisiana,32.5,Male,All Races,All Ages,All Grades
Louisiana,30.1,Overall,All Races,All Ages,All Grades
Louisiana,20.7,Female,All Races,All Ages,All Grades
Louisiana,27.6,Male,All Races,All Ages,All Grades
Louisiana,24,Overall,All Races,All Ages,All Grades
Louisiana,18.8,Female,All Races,All Ages,All Grades
Louisiana,25.8,Male,All Races,All Ages,All Grades
Louisiana,22.2,Overall,All Races,All Ages,All Grades
Louisiana,60.5,Female,All Races,All Ages,All Grades
Louisiana,46.6,Male,All Races,All Ages,All Grades
Louisiana,53.8,Overall,All Races,All Ages,All Grades
Maine,,Overall,Asian/Pacific Islander,All Ages,All Grades
Maine,18.5,Overall,White,All Ages,All Grades
Maine,33.2,Overall,Hispanic,All Ages,All Grades
Maine,42.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Maine,19.3,Overall,All Races,All Ages,All Grades
Maine,24.6,Overall,All Races,Age 25 and Older,12th Grade
Maine,12.1,Overall,All Races,Age 25 and Older,> 12th Grade
Maine,40.6,Overall,All Races,Age 25 and Older,< 12th Grade
Maine,25.5,Overall,All Races,Age 20 and Older,12th Grade
Maine,12.3,Overall,All Races,Age 20 and Older,> 12th Grade
Maine,43.1,Overall,All Races,Age 20 and Older,< 12th Grade
Maine,6.1,Overall,All Races,65 Years and Older,All Grades
Maine,19.4,Overall,All Races,45 to 64 Years,All Grades
Maine,28.7,Overall,All Races,25 to 44 Years,All Grades
Maine,23,Overall,All Races,18 to 24 Years,All Grades
Maine,,Overall,African American,All Ages,All Grades
Maine,21,Male,All Races,All Ages,All Grades
Maine,17.8,Female,All Races,All Ages,All Grades
Maine,24.2,Female,All Races,18 to 44 Years,All Grades
Maine,62.4,Overall,All Races,All Ages,All Grades
Maine,62.2,Male,All Races,All Ages,All Grades
Maine,62.5,Female,All Races,All Ages,All Grades
Maine,48.6,Overall,All Races,All Ages,All Grades
Maine,47.9,Male,All Races,All Ages,All Grades
Maine,49.4,Female,All Races,All Ages,All Grades
Maine,24,Overall,All Races,All Ages,All Grades
Maine,23.4,Male,All Races,All Ages,All Grades
Maine,24.7,Female,All Races,All Ages,All Grades
Maine,76,Overall,All Races,All Ages,All Grades
Maine,76.6,Male,All Races,All Ages,All Grades
Maine,75.3,Female,All Races,All Ages,All Grades
Maine,44.6,Male,All Races,All Ages,All Grades
Maine,52.5,Female,All Races,All Ages,All Grades
Maine,32,Overall,All Races,All Ages,All Grades
Maine,34.5,Male,All Races,All Ages,All Grades
Maine,29.7,Female,All Races,All Ages,All Grades
Maine,19.3,Overall,All Races,All Ages,All Grades
Maine,21,Male,All Races,All Ages,All Grades
Maine,17.8,Female,All Races,All Ages,All Grades
Maine,48.7,Overall,All Races,All Ages,All Grades
Maryland,8.2,Overall,Hispanic,All Ages,All Grades
Maryland,15.5,Overall,White,All Ages,All Grades
Maryland,12.2,Female,All Races,18 to 44 Years,All Grades
Maryland,12.6,Female,All Races,All Ages,All Grades
Maryland,16.8,Male,All Races,All Ages,All Grades
Maryland,16.8,Overall,African American,All Ages,All Grades
Maryland,10.7,Overall,All Races,18 to 24 Years,All Grades
Maryland,16.5,Overall,All Races,25 to 44 Years,All Grades
Maryland,17.2,Overall,All Races,45 to 64 Years,All Grades
Maryland,8.7,Overall,All Races,65 Years and Older,All Grades
Maryland,28.4,Overall,All Races,Age 20 and Older,< 12th Grade
Maryland,9.7,Overall,All Races,Age 20 and Older,> 12th Grade
Maryland,21.3,Overall,All Races,Age 20 and Older,12th Grade
Maryland,28.6,Overall,All Races,Age 25 and Older,< 12th Grade
Maryland,9.6,Overall,All Races,Age 25 and Older,> 12th Grade
Maryland,22.5,Overall,All Races,Age 25 and Older,12th Grade
Maryland,14.6,Overall,All Races,All Ages,All Grades
Maryland,24.2,Overall,American Indian/Alaska Native,All Ages,All Grades
Maryland,6.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Maryland,61.2,Female,All Races,All Ages,All Grades
Maryland,60.2,Male,All Races,All Ages,All Grades
Maryland,60.7,Overall,All Races,All Ages,All Grades
Maryland,54.1,Female,All Races,All Ages,All Grades
Maryland,51.7,Male,All Races,All Ages,All Grades
Maryland,52.8,Overall,All Races,All Ages,All Grades
Maryland,66.2,Female,All Races,All Ages,All Grades
Maryland,70.1,Male,All Races,All Ages,All Grades
Maryland,68.3,Overall,All Races,All Ages,All Grades
Maryland,33.8,Female,All Races,All Ages,All Grades
Maryland,29.9,Male,All Races,All Ages,All Grades
Maryland,31.7,Overall,All Races,All Ages,All Grades
Maryland,57.8,Male,All Races,All Ages,All Grades
Maryland,62.8,Overall,All Races,All Ages,All Grades
Maryland,12.6,Female,All Races,All Ages,All Grades
Maryland,16.8,Male,All Races,All Ages,All Grades
Maryland,14.6,Overall,All Races,All Ages,All Grades
Maryland,20,Female,All Races,All Ages,All Grades
Maryland,25.4,Male,All Races,All Ages,All Grades
Maryland,22.6,Overall,All Races,All Ages,All Grades
Maryland,67.4,Female,All Races,All Ages,All Grades
Massachusetts,13.3,Female,All Races,18 to 44 Years,All Grades
Massachusetts,12.9,Female,All Races,All Ages,All Grades
Massachusetts,16.7,Male,All Races,All Ages,All Grades
Massachusetts,16.6,Overall,African American,All Ages,All Grades
Massachusetts,11.5,Overall,All Races,18 to 24 Years,All Grades
Massachusetts,17.9,Overall,All Races,25 to 44 Years,All Grades
Massachusetts,16.8,Overall,All Races,45 to 64 Years,All Grades
Massachusetts,7.7,Overall,All Races,65 Years and Older,All Grades
Massachusetts,30.6,Overall,All Races,Age 20 and Older,< 12th Grade
Massachusetts,10.3,Overall,All Races,Age 20 and Older,> 12th Grade
Massachusetts,21.9,Overall,All Races,Age 20 and Older,12th Grade
Massachusetts,28.7,Overall,All Races,Age 25 and Older,< 12th Grade
Massachusetts,10.5,Overall,All Races,Age 25 and Older,> 12th Grade
Massachusetts,21.3,Overall,All Races,Age 25 and Older,12th Grade
Massachusetts,14.7,Overall,All Races,All Ages,All Grades
Massachusetts,26.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Massachusetts,5.9,Overall,Asian/Pacific Islander,All Ages,All Grades
Massachusetts,14.4,Overall,White,All Ages,All Grades
Massachusetts,17.1,Overall,Hispanic,All Ages,All Grades
Massachusetts,66.5,Female,All Races,All Ages,All Grades
Massachusetts,62.8,Male,All Races,All Ages,All Grades
Massachusetts,64.6,Overall,All Races,All Ages,All Grades
Massachusetts,56.5,Female,All Races,All Ages,All Grades
Massachusetts,58.4,Male,All Races,All Ages,All Grades
Massachusetts,57.6,Overall,All Races,All Ages,All Grades
Massachusetts,32.4,Male,All Races,All Ages,All Grades
Massachusetts,31.9,Overall,All Races,All Ages,All Grades
Massachusetts,31.4,Female,All Races,All Ages,All Grades
Massachusetts,68.1,Overall,All Races,All Ages,All Grades
Massachusetts,67.6,Male,All Races,All Ages,All Grades
Massachusetts,68.6,Female,All Races,All Ages,All Grades
Massachusetts,58.5,Overall,All Races,All Ages,All Grades
Massachusetts,55.1,Male,All Races,All Ages,All Grades
Massachusetts,61.5,Female,All Races,All Ages,All Grades
Massachusetts,26.8,Overall,All Races,All Ages,All Grades
Massachusetts,28.2,Male,All Races,All Ages,All Grades
Massachusetts,25.6,Female,All Races,All Ages,All Grades
Massachusetts,14.7,Overall,All Races,All Ages,All Grades
Massachusetts,16.7,Male,All Races,All Ages,All Grades
Massachusetts,12.9,Female,All Races,All Ages,All Grades
Michigan,23.6,Female,All Races,18 to 44 Years,All Grades
Michigan,18.9,Female,All Races,All Ages,All Grades
Michigan,22.3,Overall,African American,All Ages,All Grades
Michigan,21.5,Overall,All Races,18 to 24 Years,All Grades
Michigan,28.4,Overall,All Races,25 to 44 Years,All Grades
Michigan,21.8,Overall,All Races,45 to 64 Years,All Grades
Michigan,8.9,Overall,All Races,65 Years and Older,All Grades
Michigan,45,Overall,All Races,Age 20 and Older,< 12th Grade
Michigan,14.3,Overall,All Races,Age 20 and Older,> 12th Grade
Michigan,27.8,Overall,All Races,Age 20 and Older,12th Grade
Michigan,43.5,Overall,All Races,Age 25 and Older,< 12th Grade
Michigan,14.2,Overall,All Races,Age 25 and Older,> 12th Grade
Michigan,26.9,Overall,All Races,Age 25 and Older,12th Grade
Michigan,21.2,Overall,All Races,All Ages,All Grades
Michigan,61.5,Overall,American Indian/Alaska Native,All Ages,All Grades
Michigan,7.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Michigan,23.7,Male,All Races,All Ages,All Grades
Michigan,32.4,Overall,Hispanic,All Ages,All Grades
Michigan,20.1,Overall,White,All Ages,All Grades
Michigan,55,Male,All Races,All Ages,All Grades
Michigan,55.7,Overall,All Races,All Ages,All Grades
Michigan,56.5,Female,All Races,All Ages,All Grades
Michigan,55.2,Female,All Races,All Ages,All Grades
Michigan,54,Male,All Races,All Ages,All Grades
Michigan,54.6,Overall,All Races,All Ages,All Grades
Michigan,74.4,Female,All Races,All Ages,All Grades
Michigan,72.9,Male,All Races,All Ages,All Grades
Michigan,73.6,Overall,All Races,All Ages,All Grades
Michigan,25.6,Female,All Races,All Ages,All Grades
Michigan,27.1,Male,All Races,All Ages,All Grades
Michigan,26.4,Overall,All Races,All Ages,All Grades
Michigan,52.1,Overall,All Races,All Ages,All Grades
Michigan,18.9,Female,All Races,All Ages,All Grades
Michigan,23.7,Male,All Races,All Ages,All Grades
Michigan,21.2,Overall,All Races,All Ages,All Grades
Michigan,24.5,Female,All Races,All Ages,All Grades
Michigan,28.9,Male,All Races,All Ages,All Grades
Michigan,26.7,Overall,All Races,All Ages,All Grades
Michigan,56.6,Female,All Races,All Ages,All Grades
Michigan,47.4,Male,All Races,All Ages,All Grades
Minnesota,17,Female,All Races,18 to 44 Years,All Grades
Minnesota,14.8,Female,All Races,All Ages,All Grades
Minnesota,17.9,Male,All Races,All Ages,All Grades
Minnesota,22.3,Overall,African American,All Ages,All Grades
Minnesota,16,Overall,All Races,18 to 24 Years,All Grades
Minnesota,20.6,Overall,All Races,25 to 44 Years,All Grades
Minnesota,16.7,Overall,All Races,45 to 64 Years,All Grades
Minnesota,8.1,Overall,All Races,65 Years and Older,All Grades
Minnesota,28.9,Overall,All Races,Age 20 and Older,< 12th Grade
Minnesota,12,Overall,All Races,Age 20 and Older,> 12th Grade
Minnesota,24.5,Overall,All Races,Age 20 and Older,12th Grade
Minnesota,27.8,Overall,All Races,Age 25 and Older,< 12th Grade
Minnesota,12.2,Overall,All Races,Age 25 and Older,> 12th Grade
Minnesota,23.4,Overall,All Races,Age 25 and Older,12th Grade
Minnesota,16.3,Overall,All Races,All Ages,All Grades
Minnesota,38.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Minnesota,9.8,Overall,Asian/Pacific Islander,All Ages,All Grades
Minnesota,14.3,Overall,Hispanic,All Ages,All Grades
Minnesota,15.9,Overall,White,All Ages,All Grades
Minnesota,61.6,Female,All Races,All Ages,All Grades
Minnesota,62.5,Male,All Races,All Ages,All Grades
Minnesota,62.1,Overall,All Races,All Ages,All Grades
Minnesota,54,Female,All Races,All Ages,All Grades
Minnesota,48.1,Male,All Races,All Ages,All Grades
Minnesota,50.8,Overall,All Races,All Ages,All Grades
Minnesota,69.8,Female,All Races,All Ages,All Grades
Minnesota,70.5,Male,All Races,All Ages,All Grades
Minnesota,70.1,Overall,All Races,All Ages,All Grades
Minnesota,30.2,Female,All Races,All Ages,All Grades
Minnesota,29.5,Male,All Races,All Ages,All Grades
Minnesota,29.9,Overall,All Races,All Ages,All Grades
Minnesota,61.5,Female,All Races,All Ages,All Grades
Minnesota,57.1,Overall,All Races,All Ages,All Grades
Minnesota,14.8,Female,All Races,All Ages,All Grades
Minnesota,17.9,Male,All Races,All Ages,All Grades
Minnesota,16.3,Overall,All Races,All Ages,All Grades
Minnesota,23.7,Female,All Races,All Ages,All Grades
Minnesota,29.7,Male,All Races,All Ages,All Grades
Minnesota,26.7,Overall,All Races,All Ages,All Grades
Minnesota,52.4,Male,All Races,All Ages,All Grades
Mississippi,,Overall,Hispanic,All Ages,All Grades
Mississippi,27.5,Female,All Races,18 to 44 Years,All Grades
Mississippi,22.7,Female,All Races,All Ages,All Grades
Mississippi,23.2,Male,All Races,All Ages,All Grades
Mississippi,20.7,Overall,African American,All Ages,All Grades
Mississippi,23.1,Overall,All Races,18 to 24 Years,All Grades
Mississippi,29.3,Overall,All Races,25 to 44 Years,All Grades
Mississippi,24,Overall,All Races,45 to 64 Years,All Grades
Mississippi,10.5,Overall,All Races,65 Years and Older,All Grades
Mississippi,35.2,Overall,All Races,Age 20 and Older,< 12th Grade
Mississippi,17.3,Overall,All Races,Age 20 and Older,> 12th Grade
Mississippi,25.9,Overall,All Races,Age 20 and Older,12th Grade
Mississippi,34.9,Overall,All Races,Age 25 and Older,< 12th Grade
Mississippi,17.1,Overall,All Races,Age 25 and Older,> 12th Grade
Mississippi,25.1,Overall,All Races,Age 25 and Older,12th Grade
Mississippi,23,Overall,All Races,All Ages,All Grades
Mississippi,,Overall,American Indian/Alaska Native,All Ages,All Grades
Mississippi,,Overall,Asian/Pacific Islander,All Ages,All Grades
Mississippi,25.3,Overall,White,All Ages,All Grades
Mississippi,41.9,Female,All Races,All Ages,All Grades
Mississippi,54.6,Male,All Races,All Ages,All Grades
Mississippi,48.8,Overall,All Races,All Ages,All Grades
Mississippi,55.8,Female,All Races,All Ages,All Grades
Mississippi,55.7,Male,All Races,All Ages,All Grades
Mississippi,55.8,Overall,All Races,All Ages,All Grades
Mississippi,69.7,Female,All Races,All Ages,All Grades
Mississippi,64.9,Male,All Races,All Ages,All Grades
Mississippi,67.3,Overall,All Races,All Ages,All Grades
Mississippi,30.3,Female,All Races,All Ages,All Grades
Mississippi,35.1,Male,All Races,All Ages,All Grades
Mississippi,32.7,Overall,All Races,All Ages,All Grades
Mississippi,22.7,Female,All Races,All Ages,All Grades
Mississippi,23.2,Male,All Races,All Ages,All Grades
Mississippi,23,Overall,All Races,All Ages,All Grades
Mississippi,16.3,Female,All Races,All Ages,All Grades
Mississippi,27.9,Male,All Races,All Ages,All Grades
Mississippi,21.9,Overall,All Races,All Ages,All Grades
Mississippi,60.9,Female,All Races,All Ages,All Grades
Mississippi,48.9,Male,All Races,All Ages,All Grades
Mississippi,55.1,Overall,All Races,All Ages,All Grades
Missouri,22.7,Female,All Races,18 to 44 Years,All Grades
Missouri,19.4,Female,All Races,All Ages,All Grades
Missouri,21.9,Male,All Races,All Ages,All Grades
Missouri,21.2,Overall,African American,All Ages,All Grades
Missouri,19.4,Overall,All Races,18 to 24 Years,All Grades
Missouri,25.4,Overall,All Races,25 to 44 Years,All Grades
Missouri,22.4,Overall,All Races,45 to 64 Years,All Grades
Missouri,10.8,Overall,All Races,65 Years and Older,All Grades
Missouri,38.2,Overall,All Races,Age 20 and Older,< 12th Grade
Missouri,14.5,Overall,All Races,Age 20 and Older,> 12th Grade
Missouri,25.7,Overall,All Races,Age 20 and Older,12th Grade
Missouri,36.7,Overall,All Races,Age 25 and Older,< 12th Grade
Missouri,14.6,Overall,All Races,Age 25 and Older,> 12th Grade
Missouri,26,Overall,All Races,Age 25 and Older,12th Grade
Missouri,20.6,Overall,All Races,All Ages,All Grades
Missouri,18.7,Overall,American Indian/Alaska Native,All Ages,All Grades
Missouri,4.5,Overall,Asian/Pacific Islander,All Ages,All Grades
Missouri,21,Overall,Hispanic,All Ages,All Grades
Missouri,20.8,Overall,White,All Ages,All Grades
Missouri,56.7,Male,All Races,All Ages,All Grades
Missouri,51.3,Female,All Races,All Ages,All Grades
Missouri,54.2,Overall,All Races,All Ages,All Grades
Missouri,55,Female,All Races,All Ages,All Grades
Missouri,42.3,Male,All Races,All Ages,All Grades
Missouri,48.6,Overall,All Races,All Ages,All Grades
Missouri,78.2,Female,All Races,All Ages,All Grades
Missouri,75.3,Male,All Races,All Ages,All Grades
Missouri,76.7,Overall,All Races,All Ages,All Grades
Missouri,21.8,Female,All Races,All Ages,All Grades
Missouri,24.7,Male,All Races,All Ages,All Grades
Missouri,23.3,Overall,All Races,All Ages,All Grades
Missouri,54.9,Overall,All Races,All Ages,All Grades
Missouri,19.4,Female,All Races,All Ages,All Grades
Missouri,21.9,Male,All Races,All Ages,All Grades
Missouri,20.6,Overall,All Races,All Ages,All Grades
Missouri,20.4,Female,All Races,All Ages,All Grades
Missouri,28.8,Male,All Races,All Ages,All Grades
Missouri,24.4,Overall,All Races,All Ages,All Grades
Missouri,60.2,Female,All Races,All Ages,All Grades
Missouri,49.3,Male,All Races,All Ages,All Grades
Montana,17.8,Overall,White,All Ages,All Grades
Montana,20,Male,All Races,All Ages,All Grades
Montana,19.9,Female,All Races,All Ages,All Grades
Montana,25.3,Female,All Races,18 to 44 Years,All Grades
Montana,32.2,Overall,Hispanic,All Ages,All Grades
Montana,,Overall,Asian/Pacific Islander,All Ages,All Grades
Montana,43.1,Overall,American Indian/Alaska Native,All Ages,All Grades
Montana,19.9,Overall,All Races,All Ages,All Grades
Montana,26.7,Overall,All Races,Age 25 and Older,12th Grade
Montana,13.6,Overall,All Races,Age 25 and Older,> 12th Grade
Montana,36.4,Overall,All Races,Age 25 and Older,< 12th Grade
Montana,28.4,Overall,All Races,Age 20 and Older,12th Grade
Montana,13.9,Overall,All Races,Age 20 and Older,> 12th Grade
Montana,39.1,Overall,All Races,Age 20 and Older,< 12th Grade
Montana,8.3,Overall,All Races,65 Years and Older,All Grades
Montana,20.2,Overall,All Races,45 to 64 Years,All Grades
Montana,25.4,Overall,All Races,25 to 44 Years,All Grades
Montana,25.8,Overall,All Races,18 to 24 Years,All Grades
Montana,,Overall,African American,All Ages,All Grades
Montana,55.4,Female,All Races,All Ages,All Grades
Montana,59.7,Male,All Races,All Ages,All Grades
Montana,57.7,Overall,All Races,All Ages,All Grades
Montana,55.2,Female,All Races,All Ages,All Grades
Montana,47.7,Male,All Races,All Ages,All Grades
Montana,51.5,Overall,All Races,All Ages,All Grades
Montana,30,Overall,All Races,All Ages,All Grades
Montana,30.5,Male,All Races,All Ages,All Grades
Montana,29.4,Female,All Races,All Ages,All Grades
Montana,70,Overall,All Races,All Ages,All Grades
Montana,69.5,Male,All Races,All Ages,All Grades
Montana,70.6,Female,All Races,All Ages,All Grades
Montana,52.9,Overall,All Races,All Ages,All Grades
Montana,50.3,Male,All Races,All Ages,All Grades
Montana,55.5,Female,All Races,All Ages,All Grades
Montana,27.2,Overall,All Races,All Ages,All Grades
Montana,29.7,Male,All Races,All Ages,All Grades
Montana,24.6,Female,All Races,All Ages,All Grades
Montana,19.9,Overall,All Races,All Ages,All Grades
Montana,20,Male,All Races,All Ages,All Grades
Montana,19.9,Female,All Races,All Ages,All Grades
National Median (States and DC),58.1,Overall,All Races,All Ages,All Grades
National Median (States and DC),53.4,Overall,All Races,All Ages,All Grades
National Median (States and DC),25,Overall,All Races,All Ages,All Grades
National Median (States and DC),18.1,Overall,All Races,All Ages,All Grades
Nebraska,23,Overall,All Races,Age 20 and Older,12th Grade
Nebraska,19.2,Female,All Races,18 to 44 Years,All Grades
Nebraska,16.2,Female,All Races,All Ages,All Grades
Nebraska,18.5,Male,All Races,All Ages,All Grades
Nebraska,19.9,Overall,African American,All Ages,All Grades
Nebraska,17.9,Overall,All Races,18 to 24 Years,All Grades
Nebraska,21.7,Overall,All Races,25 to 44 Years,All Grades
Nebraska,18.1,Overall,All Races,45 to 64 Years,All Grades
Nebraska,8.1,Overall,All Races,65 Years and Older,All Grades
Nebraska,28.5,Overall,All Races,Age 20 and Older,< 12th Grade
Nebraska,13.6,Overall,All Races,Age 20 and Older,> 12th Grade
Nebraska,27.9,Overall,All Races,Age 25 and Older,< 12th Grade
Nebraska,13.4,Overall,All Races,Age 25 and Older,> 12th Grade
Nebraska,22.2,Overall,All Races,Age 25 and Older,12th Grade
Nebraska,17.3,Overall,All Races,All Ages,All Grades
Nebraska,46.6,Overall,American Indian/Alaska Native,All Ages,All Grades
Nebraska,7.8,Overall,Asian/Pacific Islander,All Ages,All Grades
Nebraska,14,Overall,Hispanic,All Ages,All Grades
Nebraska,17,Overall,White,All Ages,All Grades
Nebraska,56.7,Female,All Races,All Ages,All Grades
Nebraska,60.4,Male,All Races,All Ages,All Grades
Nebraska,58.7,Overall,All Races,All Ages,All Grades
Nebraska,52.2,Female,All Races,All Ages,All Grades
Nebraska,46.8,Male,All Races,All Ages,All Grades
Nebraska,49.4,Overall,All Races,All Ages,All Grades
Nebraska,71.9,Female,All Races,All Ages,All Grades
Nebraska,69,Male,All Races,All Ages,All Grades
Nebraska,70.4,Overall,All Races,All Ages,All Grades
Nebraska,28.1,Female,All Races,All Ages,All Grades
Nebraska,31,Male,All Races,All Ages,All Grades
Nebraska,29.6,Overall,All Races,All Ages,All Grades
Nebraska,58,Overall,All Races,All Ages,All Grades
Nebraska,16.2,Female,All Races,All Ages,All Grades
Nebraska,18.5,Male,All Races,All Ages,All Grades
Nebraska,17.3,Overall,All Races,All Ages,All Grades
Nebraska,21.2,Female,All Races,All Ages,All Grades
Nebraska,28.2,Male,All Races,All Ages,All Grades
Nebraska,24.7,Overall,All Races,All Ages,All Grades
Nebraska,62.6,Female,All Races,All Ages,All Grades
Nebraska,53.2,Male,All Races,All Ages,All Grades
Nevada,15.8,Overall,Hispanic,All Ages,All Grades
Nevada,13.2,Female,All Races,18 to 44 Years,All Grades
Nevada,20.2,Male,All Races,All Ages,All Grades
Nevada,24.6,Overall,African American,All Ages,All Grades
Nevada,13.7,Female,All Races,All Ages,All Grades
Nevada,17.3,Overall,All Races,18 to 24 Years,All Grades
Nevada,18.6,Overall,All Races,25 to 44 Years,All Grades
Nevada,17.5,Overall,All Races,45 to 64 Years,All Grades
Nevada,12.6,Overall,All Races,65 Years and Older,All Grades
Nevada,23.5,Overall,All Races,Age 20 and Older,< 12th Grade
Nevada,11.9,Overall,All Races,Age 20 and Older,> 12th Grade
Nevada,24,Overall,All Races,Age 20 and Older,12th Grade
Nevada,22,Overall,All Races,Age 25 and Older,< 12th Grade
Nevada,11.8,Overall,All Races,Age 25 and Older,> 12th Grade
Nevada,23.8,Overall,All Races,Age 25 and Older,12th Grade
Nevada,17,Overall,All Races,All Ages,All Grades
Nevada,34.8,Overall,American Indian/Alaska Native,All Ages,All Grades
Nevada,17.2,Overall,White,All Ages,All Grades
Nevada,12.1,Overall,Asian/Pacific Islander,All Ages,All Grades
Nevada,61.4,Female,All Races,All Ages,All Grades
Nevada,56.5,Male,All Races,All Ages,All Grades
Nevada,58.6,Overall,All Races,All Ages,All Grades
Nevada,58.7,Female,All Races,All Ages,All Grades
Nevada,52.2,Male,All Races,All Ages,All Grades
Nevada,54.8,Overall,All Races,All Ages,All Grades
Nevada,36.1,Overall,All Races,All Ages,All Grades
Nevada,35.3,Male,All Races,All Ages,All Grades
Nevada,37.3,Female,All Races,All Ages,All Grades
Nevada,63.9,Overall,All Races,All Ages,All Grades
Nevada,64.7,Male,All Races,All Ages,All Grades
Nevada,62.7,Female,All Races,All Ages,All Grades
Nevada,20.2,Male,All Races,All Ages,All Grades
Nevada,59,Overall,All Races,All Ages,All Grades
Nevada,53.5,Male,All Races,All Ages,All Grades
Nevada,64.4,Female,All Races,All Ages,All Grades
Nevada,24,Overall,All Races,All Ages,All Grades
Nevada,26.3,Male,All Races,All Ages,All Grades
Nevada,21.9,Female,All Races,All Ages,All Grades
Nevada,13.7,Female,All Races,All Ages,All Grades
Nevada,17,Overall,All Races,All Ages,All Grades
New Hampshire,17.5,Overall,All Races,All Ages,All Grades
New Hampshire,21.6,Female,All Races,18 to 44 Years,All Grades
New Hampshire,16.7,Female,All Races,All Ages,All Grades
New Hampshire,18.4,Male,All Races,All Ages,All Grades
New Hampshire,,Overall,African American,All Ages,All Grades
